heat_double_sin/cooled,heat_double_sin/middle,heat_double_sin/measure,heat_double_sin/1mmAbove,heat_double_sin/cooled_1mm_above
1123.078336766575,1123.1291816564503,1123.1426829092222,1123.1428287555766,1123.0797974396937
1123.078771198135,1123.1293078598749,1123.1427272663495,1123.142872228565,1123.080223016469
1123.079483287805,1123.1295147236556,1123.1427999734342,1123.142943486431,1123.0809205919988
1123.0804822848786,1123.1298049347342,1123.142901974864,1123.143043454739,1123.0818992270526
1123.0817766360246,1123.1301809468891,1123.1430341330763,1123.143172978736,1123.0831671961357
1123.083375516012,1123.1306454254127,1123.1431973848505,1123.143332976529,1123.0847334870127
1123.085288411487,1123.1312011261994,1123.1433926988097,1123.1435243974342,1123.086607392969
1123.0875233012928,1123.1318503671218,1123.143620889624,1123.1437480398836,1123.0887967302185
1123.0900895906707,1123.1325958804255,1123.1438829176045,1123.1440048450472,1123.0913107123013
1123.092996235768,1123.1334402678935,1123.1441796972085,1123.144295709155,1123.0941581128156
1123.0962521927302,1123.1343861313076,1123.1445121428928,1123.1446215284363,1123.0973477053594
1123.0998673896418,1123.1354363548003,1123.1448812683525,1123.1449832963813,1123.100889215658
1123.1038489339344,1123.136593003098,1123.1452877992838,1123.1453817242214,1123.1047896062764
1123.1082066608237,1123.1378589333544,1123.1457327398998,1123.1458177961533,1123.1090585119637
1123.1129507907851,1123.139237114643,1123.1462171337505,1123.1462925349265,1123.1137059448772
1123.1180878533473,1123.1407294438075,1123.1467416475255,1123.1468065939425,1123.1187383014578
1123.1236279692373,1123.1423388609435,1123.1473073145903,1123.1473609859688,1123.1241654961473
1123.1295800946011,1123.1440679678335,1123.1479150494008,1123.1479566072346,1123.129996302543
1123.1359531855853,1123.1459193662597,1123.1485657664148,1123.1485943539703,1123.1362394942437
1123.1427579958306,1123.147896180181,1123.14926056362,1123.149275302278,1123.142905605704
1123.15,1123.1500000000003,1123.15,1123.15,1123.15
1123.1576808843904,1123.1522313155908,1123.150784247733,1123.1507686158818,1123.1575243290574
1123.165766941899,1123.1545803349572,1123.1516098651941,1123.1515777768986,1123.1654455728076
1123.1742092430657,1123.1570328439725,1123.1524718564979,1123.1524225867443,1123.173715799093
1123.1829650272023,1123.1595764205529,1123.1533658556143,1123.1532987664139,1123.182293118794
1123.1919895136691,1123.1621980558134,1123.1542872902685,1123.1542018347675,1123.19113366401
1123.2012379218272,1123.1648847408694,1123.155231588185,1123.155127310667,1123.2001935668422
1123.2106679037602,1123.1676241735486,1123.1561944254802,1123.1560709564128,1123.2094313425282
1123.2202298420495,1123.1704019398705,1123.1571707360254,1123.1570278068555,1123.2187983849753
1123.2298813486482,1123.1732057260035,1123.1581561918376,1123.1579936202797,1123.2282531701094
1123.23958012724,1123.1760232447664,1123.1591464743021,1123.1589641641497,1123.2377542637169
1123.2492764228093,1123.1788400422045,1123.1601365032404,1123.1599344595468,1123.2472529249121
1123.2589279333065,1123.18164382947,1123.1611219594508,1123.1609002733612,1123.256707713865
1123.2684898780924,1123.1844215976791,1123.1620982706588,1123.1618571244537,1123.2660747626767
1123.2779174765287,1123.1871603379468,1123.16306086459,1123.1628005316863,1123.2753102034476
1123.2871682889768,1123.1898477214552,1123.1640054079942,1123.1637262481804,1123.2843724615643
1123.2961927897375,1123.192469360868,1123.1649268441079,1123.1646293179647,1123.2932130207826
1123.3049485907657,1123.1950129423553,1123.1658208449487,1123.1655054993241,1123.3017903570308
1123.3133930288343,1123.1974660721455,1123.1666830544384,1123.1663505230067,1123.310062676663
1123.321476991027,1123.1998144828178,1123.1675084579597,1123.167159474348,1123.317981867805
1123.3291579001059,1123.2020458055804,1123.1682927082131,1123.1679280927003,1123.3255062210478
1123.3363909754323,1123.2041470315494,1123.1690312329245,1123.1686518969248,1123.3325918684925
1123.3431314363663,1123.206105151839,1123.1697194598182,1123.1693264058824,1123.3391949422387
1123.3493360177245,1123.2079075978093,1123.1703529713539,1123.1699472900843,1123.3452730589543
1123.3549567531768,1123.2095404351242,1123.1709268699842,1123.1705097496024,1123.3507792299808
1123.3599505208556,1123.2109911367768,1123.171436752803,1123.1710094692903,1123.355671212381
1123.3642735567955,1123.212246989228,1123.17187815134,1123.1714420697451,1123.3599061342056
1123.3678788578322,1123.213294337945,1123.1722462663927,1123.171802847423,1123.3634379503317
1123.3707228377136,1123.2141205210153,1123.172536647638,1123.1720874407058,1123.3662239629016
1123.3727607158005,1123.2147125295544,1123.172744722801,1123.1722913684548,1123.3682203040164
1123.3739477114534,1123.2150573546776,1123.172865919606,1123.1724101495304,1123.3693831057758
1123.3742390001148,1123.215141974742,1123.1728956612947,1123.172439298399,1123.3696684572571
1123.3735896424803,1123.21495333477,1123.1728293593917,1123.1723743180446,1123.3690323351298
1123.3719550490305,1123.214478481399,1123.172662461136,1123.1722107464532,1123.3674310587187
1123.3692896212347,1123.2137041681435,1123.172390310743,1123.1719440206398,1123.364819958903
1123.3655499333365,1123.2126177797165,1123.1720084742763,1123.1715697950474,1123.361156495051
1123.3606906562416,1123.2112061479056,1123.1715123234621,1123.1710835336532,1123.3563962619853
1123.3546670093099,1123.2094562638265,1123.1708972860256,1123.1704807553194,1123.3504953918077
1123.3474342119025,1123.2073551185938,1123.1701587896905,1123.1697569789058,1123.343410016617
1123.3389451462615,1123.204889024385,1123.1692920235548,1123.1689074894014,1123.3350939790323
1123.3291593677607,1123.2020462319376,1123.1682928580665,1123.1679282395664,1123.3255076587882
1123.3180300854026,1123.1988131483533,1123.1671565156853,1123.166814547088,1123.3146052186028
1123.3055091322653,1123.1951757810239,1123.1658780783841,1123.1655615919663,1123.302339473315
1123.2915581276534,1123.191122980264,1123.1644536273468,1123.164165533496,1123.2886728245217
1123.2761292658022,1123.1866408583828,1123.1628782814216,1123.1626215878182,1123.273558440858
1123.2591777660728,1123.181716406496,1123.1611474683336,1123.1609252737935,1123.2569524544244
1123.2406588478261,1123.1763366157193,1123.159256615808,1123.1590721102837,1123.2388109973222
1123.2205223662766,1123.1704869188695,1123.1572006038698,1123.1570570793658,1123.2190849468388
1123.19873383913,1123.1641572987576,1123.1549759117447,1123.154876730443,1123.1977405235148
1123.1752435400842,1123.157333309771,1123.1525774621869,1123.1525260874705,1123.1747290145925
1123.15,1123.1500000000003,1123.15,1123.15,1123.15
1123.1230071756015,1123.142158518883,1123.1472439291804,1123.1472988639755,1123.1235573558142
1123.0943931741635,1123.1338460818938,1123.1443223299723,1123.1444354989214,1123.095526578168
1123.0643281632888,1123.1251121231355,1123.1412525771398,1123.1414269332836,1123.0660743662295
1123.0329823105787,1123.1160060767097,1123.1380520454466,1123.1382901955076,1123.0353674191656
1123.00051734655,1123.106574925725,1123.1347372481991,1123.1350414697508,1123.0035641710263
1122.9671200939817,1123.096872942653,1123.1313272607192,1123.1316994511203,1122.9708476366834
1122.9329525459514,1123.086947186876,1123.1278386231197,1123.1282803500476,1122.937376507396
1122.8981759066537,1123.076844488605,1123.1242877949683,1123.1248002980221,1122.903308701621
1122.8629781822183,1123.0666194640778,1123.12069397241,1123.1212781085671,1122.86882839346
1122.8275207086945,1123.0563189818088,1123.1170736284744,1123.1177299263666,1122.8340936305362
1122.791973653684,1123.0459924759,1123.1134441379259,1123.1141727798658,1122.799271112017
1122.7565071847891,1123.0356893804542,1123.1098228755286,1123.1106236975104,1122.7645275370708
1122.7212825004474,1123.0254565240084,1123.1062263002607,1123.1070988102138,1122.7300208185122
1122.686487836143,1123.0153485894293,1123.102673631687,1123.1036169544498,1122.6959353551247
1122.6522843043272,1123.0054123802752,1123.099181320005,1123.1001942525274,1122.66242897549
1122.6188336228488,1122.9956948759748,1123.0957658772284,1123.096846887337,1122.6296601012496
1122.5863231190774,1122.986250495584,1123.0924464301986,1123.0935936044787,1122.59781224158
1122.554914294168,1122.9771261555813,1123.089239468803,1123.0904505651586,1122.5670436058451
1122.5247773157223,1122.9683712900685,1123.0861623678054,1123.0874347978215,1122.5375208932114
1122.4960823513431,1122.9600353331484,1123.0832325019705,1123.0845633309139,1122.5094108028486
1122.4689928559496,1122.952165768872,1123.0804665606722,1123.0818525211516,1122.4828734580606
1122.44369290061,1122.944816070332,1123.0778833382712,1123.0793207882814,1122.4580891780945
1122.4203455057095,1122.9380335953474,1123.0754994797744,1123.0769844455367,1122.435217660579
1122.3991156913116,1122.9318662826472,1123.0733318343623,1123.0748600062552,1122.4144205620626
1122.3801845289045,1122.9263667339394,1123.071398890128,1123.0729655900207,1122.3958752633503
1122.3637164733095,1122.921582723749,1123.0697174385389,1123.0713176536074,1122.37974286727
1122.3498816921294,1122.9175636861785,1123.0683048543594,1123.0699332254612,1122.3661900729887
1122.3388503529661,1122.9143590553304,1123.0671785123536,1123.068829334028,1122.3553835796747
1122.3307909557827,1122.9120177808531,1123.0663556170143,1123.0680228408744,1122.3474884528468
1122.3258778301079,1122.9105905058989,1123.0658539680535,1123.0675311909251,1122.3426754687682
1122.324278692823,1122.9101259526296,1123.065690690008,1123.0673711673846,1122.341108925838
1122.326164654768,1122.9106738291603,1123.0658832539507,1123.0675598930873,1122.3429564472356
1122.331704954425,1122.9122832996807,1123.0664489397782,1123.0681143035024,1122.3483838219465
1122.3410697888453,1122.9150038068499,1123.0674051252631,1123.0690514300236,1122.3575577779868
1122.3544293256307,1122.9188847847677,1123.0687691851685,1123.0703883010956,1122.3706450145237
1122.3719537323834,1122.9239756675377,1123.070558494259,1123.0721419451634,1122.3878122307249
1122.3938193426723,1122.93032768049,1123.0727910568683,1123.0743300076936,1122.4092321660469
1122.4201851673624,1122.9379870166676,1123.0754831086144,1123.0769684006914,1122.435060590322
1122.4512264083933,1122.94700457266,1123.0786525382875,1123.0800746563823,1122.4654691344429
1122.4871230559427,1122.9574326360507,1123.082317723574,1123.083666786143,1122.5006341199442
1122.5280269383647,1122.9693153133474,1123.0864941667312,1123.087759983236,1122.5407042805448
1122.5741167835,1122.9827045254206,1123.0912001165561,1123.0923721327176,1122.5858547011715
1122.6255627589514,1122.9976497063733,1123.0964529478135,1123.0975202630339,1122.6362520809926
1122.6825350323209,1123.0142002903083,1123.1022700352676,1123.1032214026304,1122.6920631191754
1122.7452205593434,1123.03241058832,1123.1086704678153,1123.1094942599186,1122.753470960837
1122.8137574550994,1123.052320723176,1123.1156683475358,1123.1163526558912,1122.8206109059322
1122.888331195146,1123.073984575976,1123.123282612194,1123.1238151508398,1122.8936646495697
1122.969133437562,1123.0974578238581,1123.1315328308144,1123.1319009237336,1122.9728199433648
1123.056293023449,1123.1227778954756,1123.1404321585676,1123.1406228675305,1123.0582030023206
1123.15,1123.1500000000003,1123.15,1123.15,1123.15
1123.2502498201575,1123.1791169753774,1123.1602288622053,1123.1600242827571,1123.2482039558352
1123.356339078223,1123.209895274925,1123.1710117815935,1123.1705874100915,1123.3521131703133
1123.4674186448901,1123.242053137395,1123.1822198384123,1123.1815588581348,1123.4608806468646
1123.5825533506263,1123.2752838963804,1123.1937154358507,1123.1927996095878,1123.5735751412146
1123.7008929083815,1123.309305476738,1123.2053695629384,1123.2041790538506,1123.6893485323492
1123.821590313296,1123.3438366132307,1123.2170533710619,1123.2155667223647,1123.80735585245
1123.943705472448,1123.378569424567,1123.2286290198722,1123.2268233847658,1123.9266611273497
1124.066390897731,1123.4132225544788,1123.2399676707992,1123.23781858821,1124.046418937177
1124.1887684687865,1123.4475058601258,1123.2509374925824,1123.2484189601569,1124.1657539026833
1124.309960065256,1123.4811291986698,1123.2614066539604,1123.258491128065,1124.283790644619
1124.4291177261186,1123.5138106457312,1123.2712457497837,1123.2679040325654,1124.399683093556
1124.5453021466506,1123.5452432668772,1123.280317884012,1123.2765194541785,1124.5124963579322
1124.657666006708,1123.5751454181227,1123.288493830303,1123.2842065199861,1124.6213850368806
1124.7653580733925,1123.6032338880796,1123.2956434444986,1123.2908334063115,1124.7254997102445
1124.8674449112382,1123.6292040934684,1123.301631207312,1123.296263319844,1124.8239115155263
1124.9630766027208,1123.6527733261585,1123.3063272546547,1123.3003647258033,1124.915772373523
1125.051375027482,1123.6736514433103,1123.3095997552655,1123.3030042516486,1125.0002069049851
1125.1314620651638,1123.6915483020866,1123.311316877885,1123.304048524841,1125.0763397306653
1125.2024765331425,1123.7061770603607,1123.311346571623,1123.3033637649116,1125.143311363305
1125.2635037712778,1123.717240024903,1123.3095569618924,1123.3008169213942,1125.200211953993
1125.313685036445,1123.7244512282714,1123.3058164466363,1123.2962746734559,1125.2461844770407
1125.352150477821,1123.7275207583139,1123.2999914258164,1123.289601656707,1125.2803607149858
1125.3780020971678,1123.7261568389902,1123.2919530218828,1123.2806678860795,1125.3018476069349
1125.390373157658,1123.7200706556937,1123.281568184891,1123.269338559263,1125.3097800693863
1125.3883855389327,1123.708972065587,1123.2687050835805,1123.2554803037176,1125.303282723091
1125.3711611206338,1123.6925709258292,1123.2532318866904,1123.238959746902,1125.2814801887998
1125.3378111086502,1123.6705707219385,1123.2350117372564,1123.2196382016575,1125.2434852164606
1125.2874742671968,1123.6426925111125,1123.2139221028162,1123.1973921577196,1125.1884416897462
1125.2192660402814,1123.608641247839,1123.1898268452635,1123.1720836607444,1125.115466613179
1125.1322835692692,1123.568115564589,1123.16258674834,1123.1435716200347,1125.0236586270225
1125.025693072925,1123.5208460017875,1123.1320838969093,1123.1117372299568,1124.9121891619247
1124.8985966052305,1123.4665328837407,1123.0981798948337,1123.0764402350744,1124.7801617851164
1124.7501160458264,1123.4048860676091,1123.0607429108513,1123.0375472628468,1124.6267011173484
1124.579373274355,1123.335615410554,1123.019641113702,1122.9949249407332,1124.4509317793722
1124.3854374953294,1123.2584099711198,1122.9747306800077,1122.9484274892875,1124.2519244133719
1124.167529677095,1123.1730190661606,1122.9259027401085,1122.8979453096383,1124.028905325541
1123.9247250609048,1123.07913381748,1122.8730144595092,1122.8433336283356,1123.780951205644
1123.6560733904264,1122.9764366475604,1122.8159188453938,1122.7844434427795,1123.5071132067042
1123.3608338811991,1122.8646899225168,1122.754513265717,1122.7211714979608,1123.2066559408454
1123.038062988127,1122.7435783509536,1122.6886518178067,1122.6533698997214,1122.8786372810628
1122.686882590852,1122.6128117900328,1122.6182026704032,1122.580905275521,1122.5221818481082
1122.3064145690157,1122.472100096915,1122.543033992245,1122.5036442528192,1122.1364142627324
1121.8956717358697,1122.3211131485602,1122.4629928332026,1122.4214317742865,1121.7203487143886
1121.4539860436619,1122.1596380307024,1122.3779883070943,1122.3341765236346,1121.2733226217263
1120.9803781410042,1121.9873472778497,1122.2878687226982,1122.2417247227136,1120.7943580147848
1120.4738359839805,1121.8039023478825,1122.1924771503031,1122.1439172714254,1120.28244421438
1119.9337405646775,1121.609106941832,1122.09173056163,1122.0406708365751,1119.7369677040454
1119.3590883490358,1121.402625397988,1121.985473387136,1121.931827699688,1119.1569263175743
1118.7490012166975,1121.1841675735132,1121.8735737955608,1121.8172544882245,1118.5414446757181
1118.102601047304,1120.9534433255678,1121.7558999556438,1121.6968178296434,1117.8896473992286
1117.4191145987163,1120.7101282178544,1121.6322524406892,1121.5703166805251,1117.2007625620474
1116.6994363412496,1120.4542046379445,1121.5023868293583,1121.437509871316,1116.4756899218926
1115.9442249841065,1120.185499379639,1121.36592943859,1121.2980254569056,1115.7150892860127
1115.1541028459374,1119.9038261466235,1121.222499834476,1121.1514846534421,1114.9195840763314
1114.330303491236,1119.6092165622601,1121.071828559701,1120.9976220535932,1114.0904130933684
1113.473458017355,1119.301487645777,1120.9135369996175,1120.836060713797,1113.2282085354898
1112.5843953470535,1118.9805268555367,1120.7472823481905,1120.6664602848489,1112.3338018053482
1111.6639444030918,1118.6462216499024,1120.5727217993838,1120.4884804175456,1111.4080243055957
1110.712686791929,1118.2983687217752,1120.389464505938,1120.3017318189657,1110.4514587667861
1109.7319385635847,1117.9370335720166,1120.1972613983992,1120.1059696642174,1109.4654264364974
1108.7222890420758,1117.5620163531398,1119.9957238876104,1119.9008069363667,1108.4505177574074
1107.684297952709,1117.1731032054254,1119.784453824762,1119.6858469910608,1107.4072935990282
1106.619325744519,1116.7703806485324,1119.563216480186,1119.4608594448448,1106.3371195696343
1105.5279392236619,1116.3536383687965,1119.3316162264891,1119.2254501907792,1105.2405636122487
1104.4109673128974,1115.9227638245816,1119.0893102576363,1118.979278879661,1104.1184571295241
1103.269238934985,1115.4776444742497,1118.8359557675917,1118.7220051622855,1102.971631524113
1102.1032815927297,1115.0180482946648,1118.5711406832309,1118.453218399432,1101.8006154892453
1100.9145212413107,1114.5440979882499,1118.2946576846732,1118.1727157616847,1100.6068400500762
1099.7034914032408,1114.0555652219946,1118.0060976590535,1117.8800895829331,1099.3908399090303
1098.4707027941588,1113.5522067285376,1117.7050391250473,1117.5749197809735,1098.153127007524
1097.217615580284,1113.0341676123062,1117.3912933158585,1117.2570221509295,1096.8951665129525
1095.944745860255,1112.5012083825104,1117.0644419737373,1116.9259798451349,1095.6174757373137
1094.652922556831,1111.953216497513,1116.724142292648,1116.581452514386,1094.3208860832597
1093.3429745927722,1111.3900794156766,1116.3700514665547,1116.2230998094788,1093.0062289534435
1092.0153889509065,1110.81153455359,1116.0017305788551,1115.850484167539,1091.6739926280886
1090.6716743242177,1110.217765503711,1115.6190252944673,1115.4634559093327,1090.3256906612933
1089.312322017391,1109.6085136032696,1115.2215003592055,1115.0615811422208,1088.961815639545
1087.937807320076,1108.9835043330263,1114.8087053416177,1114.6444107687944,1087.582844200482
1086.5496629483205,1108.3429450706494,1114.380508673006,1114.211817917463,1086.1903138219868
1085.1483678769234,1107.6865653039856,1113.9364638476493,1113.7633574224794,1084.7847048093488
1083.734751028644,1107.0142524913977,1113.4762280595119,1113.2986889346398,1083.3668485652195
1082.3096413262426,1106.3258940912492,1112.9994585025586,1112.8174721047405,1081.937576492252
1080.8734988162496,1105.6211951156172,1112.5056837990974,1112.3192368689029,1080.4973500819806
1079.427887762095,1104.9004037354666,1111.9948138340687,1111.803897852777,1079.0477381688129
1077.9732708343145,1104.1632291140309,1111.4663815943534,1111.2709893598446,1077.589204847616
1076.5101014802492,1103.4093636359573,1110.919902080761,1110.72002770014,1076.122205076567
1075.0399577984172,1102.639080640627,1110.3553121579146,1110.1509544900603,1074.648321395402
1073.5632952234557,1101.8520767502878,1109.7721314545115,1109.5632906684273,1073.168010727018
1072.0809426781257,1101.0482394233024,1109.170017164516,1108.9566958860376,1071.6821044740677
1070.5937290851857,1100.2274561180338,1108.548626481892,1108.3308297936865,1070.191434039203
1069.102101138547,1099.3893975978121,1107.9074499502444,1107.6851842491378,1068.6964477495849
1067.6076515047303,1098.5343803005824,1107.246472909764,1107.0197493376327,1067.1987424712984
1066.1108278038014,1097.6620793713455,1106.565190970785,1106.3340219814202,1065.6987674319075
1064.6120752244678,1096.772152254397,1105.8630789487634,1105.6274783206243,1064.1969695344428
1063.112990080363,1095.8649419393062,1105.1401533768721,1104.900139614337,1062.6949491318624
1061.6140178496423,1094.9401103384841,1104.395894400612,1104.151487328595,1061.193153388987
1060.1159874550644,1093.997544910293,1103.6299592139462,1103.381181114194,1059.6924137084686
1058.61972781939,1093.0371331130966,1102.8420050108402,1102.588880621931,1058.1935614929598
1057.1256858675886,1092.0585096172417,1102.0314786385838,1101.7740340538596,1056.6970455295668
1055.6354555019143,1091.062062816125,1101.1984521278405,1100.9367181095156,1055.2044634674155
1054.1493328393829,1090.0475213289953,1100.3425193132769,1100.0765277309367,1053.7161124590064
1052.6670177514682,1089.01495277364,1099.4638157337458,1099.1935986360297,1052.2316903527108
1051.1891977278142,1087.9653092926885,1098.5632958116657,1098.2888884266144,1050.751883421239
1049.7154215409682,1086.898752333412,1097.641242011165,1097.3626794971453,1049.2762375873124
1048.2456178961495,1085.8157053744726,1096.6981588371525,1096.4154773686669,1047.8046792611203
1046.7797154985785,1084.7165918945332,1095.734550794538,1095.4477875622238,1046.3371348528515
1045.3172692232783,1083.6015480095239,1094.7506680428864,1094.4598602232777,1044.8731565643104
1043.8589563890132,1082.471568081336,1093.7475188460141,1093.4527067024285,1043.4134202029807
1042.404330899404,1081.3267921765532,1092.7253584244302,1092.4265821961706,1041.957476971301
1040.9529504343952,1080.167345208738,1091.6844225286563,1091.3817224722213,1040.504881956371
1039.5054866481446,1078.994244269796,1090.6257486281122,1090.3191680249668,1039.056305138557
1038.0614963039575,1077.8076178986632,1089.5495771467465,1089.239159284859,1037.6113006621194
1036.6209081070544,1076.6078895740022,1088.456412589468,1088.142201772942,1036.1697949372467
1035.1836507626554,1075.395482774475,1087.346759461187,1087.0288010102606,1034.731714374128
1033.7492862603208,1074.1705059122698,1086.2208320817022,1085.899171391176,1033.2966184916772
