cooledVariable,middle,measureVariable,1mmAbove,1mmbelov
1122.9040199213207,1122.985996936646,1122.9049627540212,1123.0508259664198,1123.0597002553263
1122.8777854692437,1122.9674706817855,1122.878859158903,1123.0411896534813,1123.0509602287875
1122.849577959479,1122.9474111899383,1122.8507908452395,1123.0306039982895,1123.0413375442622
1122.8192093437483,1122.9256569684621,1122.8205702814103,1123.018946746766,1123.0307163463833
1122.7864893605176,1122.9020447890894,1122.7880077316092,1123.006094547377,1123.018979757176
1122.7512531490163,1122.8764297711643,1122.7529387387733,1122.9919340543563,1123.006020038453
1122.7133110707227,1122.8486491805702,1122.7151741876553,1122.9763422365647,1122.9917206115508
1122.6724815541897,1122.818546083019,1122.6745329910036,1122.9591991947545,1122.9759677545662
1122.6285830279703,1122.7859635442233,1122.6308340615667,1122.9403850296776,1122.9586477455946
1122.581421417965,1122.750735262315,1122.583883865098,1122.919774327261,1122.9396417732664
1122.5308392560955,1122.7127223029404,1122.5335253095955,1122.8972577133293,1122.9188458206042
1122.4766433237135,1122.671759059281,1122.4795657131908,1122.8727102476912,1122.8961415211293
1122.4186367011948,1122.6276769030396,1122.421808706078,1122.8460049102991,1122.871408553967
1122.3566674720423,1122.5803414321772,1122.3601027282798,1122.8170354468314,1122.844545833798
1122.2905397115508,1122.5295848339895,1122.294252401463,1122.7856754032184,1122.8154335719912
1122.2200718482725,1122.4752501741884,1122.2240766383752,1122.7518048802128,1122.783958046642
1122.1450823107612,1122.4171805184872,1122.1493943517655,1122.715303978567,1122.750005535848
1122.065368507202,1122.3552025576923,1122.0700035187224,1122.6760423877038,1122.7134526206169
1121.980789633041,1122.2891910506576,1121.9857636536601,1122.6339202808692,1122.674204266281
1121.89114432382,1122.2189737046817,1121.8964739569594,1122.5888080669552,1122.6321377316738
1121.7962260263878,1122.1443739197334,1121.8019284573104,1122.540573092591,1122.5871273894425
1121.6959017193967,1122.0652729158,1121.701994426828,1122.4891201245136,1122.5390825342913
1121.5899662165195,1121.981495229885,1121.5964672565906,1122.4343173209172,1122.4878783040424
1121.4782379463086,1121.8928839277014,1121.4851658593464,1122.3760447825543,1122.433400976793
1121.3605353373177,1121.799282074961,1121.3679091478432,1122.3141826101769,1122.3755368306395
1121.2366443045794,1121.7005067834414,1121.2444836430004,1122.2485936318978,1122.3141559753906
1121.1064466579387,1121.5964516486133,1121.1147714006572,1122.179191497999,1122.2491760858454
1120.9697299116917,1121.4869351201883,1120.978560535939,1122.1058400016464,1122.1804681825697
1120.8262749037203,1121.3717700546947,1120.8356325085292,1122.0283988913416,1122.1078994681554
1120.6759734587029,1121.250858437557,1120.685879357642,1121.9467878844923,1122.0313933444845
1120.518608153253,1121.1240145837824,1120.5290842762636,1121.8608677867508,1121.9508180122587
1120.353997415922,1120.9910815590824,1120.365066177141,1121.7705186988678,1121.866059749572
1120.181959675264,1120.85190242917,1120.193643973023,1121.6756207215963,1121.7770048345221
1120.002266377721,1120.7062821550874,1120.0145897611565,1121.5760278569335,1121.6835150421425
1119.8148278984138,1120.5541383123325,1119.8278140738116,1121.4716711618073,1121.5855244838508
1119.6194176549527,1120.3952775213247,1119.6330909733547,1121.362405848854,1121.48289607837
1119.415800900817,1120.2294995234479,1119.4301863829594,1121.2480821036395,1121.3754879946584
1119.2039002575862,1120.0567322129732,1119.2190230439467,1121.1286385238566,1121.263241468933
1118.9834830893749,1119.8767771112048,1118.9993689837052,1121.0039265978064,1121.146015901192
1118.7543678247366,1119.6894772838557,1118.7710431149835,1120.8738264262417,1121.023697569532
1118.5163728922241,1119.4946757966381,1118.53386435053,1120.7382181099144,1120.8961727520498
1118.2692522942514,1119.2921628881545,1118.2875873964153,1120.5969448598985,1120.7632930254251
1118.0129509220899,1119.0818852573402,1118.0321571963475,1120.449959069384,1120.625012664851
1117.7472251212273,1118.8636351236164,1117.7673307924306,1120.297105405667,1120.4811846236282
1117.4718215853022,1118.6371965415178,1117.4928556038262,1120.1382225265747,1120.3316561735066
1117.18669968367,1118.4025284575725,1117.208691008966,1119.9732718396954,1120.1763901121885
1116.8916085925107,1118.159417027678,1116.9145869021409,1119.802093551175,1120.0152351753966
1116.5863858634866,1117.9077138849848,1116.610381092409,1119.6245614293534,1119.8480695576875
1116.2709455406984,1117.647304932397,1116.2959869740696,1119.4405239129185,1119.6747391194604
1115.945136077949,1117.37801457823,1115.9712524030062,1119.2497734189628,1119.4950348183454
1115.6090574106115,1117.099875120504,1115.6362758875662,1119.052249665579,1119.3088863875314
1115.2625606340282,1116.8127132368936,1115.2909079180106,1118.847746795986,1119.116086425246
1114.9054861740326,1116.5163463649271,1114.9349883423915,1118.6360518058743,1118.9164207176784
1114.537949970603,1116.2108206631399,1114.5686316327121,1118.4171151348603,1118.7098292162948
1114.159795142447,1115.8959559194793,1114.191680323411,1118.190725626042,1118.4960994724877
1113.7709548567736,1115.571646604287,1113.8040667050968,1117.9567253856956,1118.2750692631164
1113.371362280793,1115.2377871879055,1113.4057230683784,1117.7149565200957,1118.0465763650404
1112.9608441185985,1114.8941829498715,1112.9964755686406,1117.4651961810114,1117.8103971149424
1112.5395436680922,1114.54090422961,1112.5764659765423,1117.207414293775,1117.5664901556313
1112.1072904117975,1114.1777587921704,1112.145523220533,1116.9413900596905,1117.3146337966639
1111.663902615129,1113.804544297788,1111.7034650320684,1116.666894238817,1117.0545982063668
1111.2095404020108,1113.4213462434295,1111.250449977656,1116.383909418624,1116.7863542396526
1110.7440248676232,1113.0279648559028,1110.7862986138252,1116.092208529987,1116.509674162329
1110.2672891791751,1112.6242946055495,1110.3109432311846,1115.7916336791807,1116.2243957512544
1109.7792665038776,1112.2102299627127,1109.8243161203445,1115.482026972483,1115.93035678329
1109.2797607009147,1111.7855553488205,1109.3262206266245,1115.163147708908,1115.6273163157925
1108.7689606211145,1111.3503826033623,1108.8168440021252,1114.835001195886,1115.3152672179451
1108.2466730389826,1110.9044988494306,1108.2959925039181,1114.4973491053759,1114.993970852254
1107.712692964318,1110.4476802406411,1107.763460637301,1114.1499433743793,1114.6631791108125
1107.167226895386,1109.9800550710497,1107.2194532824121,1113.7928039130732,1114.3228990687273
1106.610072808642,1109.501402276995,1106.6637679083083,1113.4256851526834,1113.972885047846
1106.0411638712949,1109.0116163288194,1106.0963368055989,1113.0484291994853,1113.6129748250285
1105.4604332505548,1108.5105916968655,1105.5170922648929,1112.6608781597552,1113.243006177134
1104.8676608655,1107.9980902151235,1104.925813711884,1112.262770892329,1112.8627182238226
1104.2630833102805,1107.4742686818067,1104.32273609924,1111.8541532615877,1112.4721433773973
1103.6464835561874,1106.938891848722,1103.7076419030923,1111.4347668227183,1112.0710233949428
1103.017632262202,1106.3917126335334,1103.0803012930153,1111.004342102237,1111.659089233941
1102.3767844913314,1105.8329055860474,1102.4409676819057,1110.5629415078843,1111.2363895064439
1101.7237140061059,1105.2622266228034,1101.789414341786,1110.1102983838084,1110.8026579319649
1101.0583539737345,1104.679570214144,1101.125573563264,1109.6462548362842,1110.357732287363
1100.3806375614272,1104.0848308304114,1100.449377636949,1109.1706529715882,1109.901450349498
1099.6903196529563,1103.4777459888276,1099.760580959344,1108.6832086209497,1109.4335286419575
1098.9876867761932,1102.8585209049909,1099.0594684028122,1108.1840133805551,1108.954044436914
1098.272497004013,1102.2268962300914,1098.3457975529802,1107.6727861013933,1108.4627172276548
1097.544495549384,1101.582599916513,1097.6193131341363,1107.1492333120664,1107.9592543786785
1096.8039882304502,1100.9258562284701,1096.8803193110639,1106.6134650927336,1107.443751355729
1096.0507235006178,1100.256396333375,1096.128564049184,1106.0651911130371,1106.915918617611
1095.284634527097,1099.5741147015701,1095.363979639106,1105.5042534792537,1106.3755939411842
1094.505654477098,1098.8789058033976,1094.5864983714391,1104.9304942976582,1105.8226151033082
1093.7135121038873,1098.1704811099808,1093.795848503931,1104.343603784446,1105.256673373124
1092.908546059455,1097.4490977129622,1092.9923670477674,1103.7437244424648,1104.6778961994212
1092.0904884230627,1096.7144704335858,1092.1757855885073,1103.1305498310758,1104.0859781533165
1091.2590578664663,1095.9663005296256,1091.3458222955899,1102.5037598935423,1103.4806003479505
1090.4146131533437,1095.2048654383652,1090.502834304811,1101.863517557296,1102.861910419508
1089.55687633278,1094.4298698487573,1089.6465431654278,1101.2095062300464,1102.2295929077104
1088.685780571985,1093.6412082311451,1088.7768811680503,1100.541568018069,1101.583485589418
1087.8012590381686,1092.8387750558709,1087.8937806032877,1099.8595450276407,1100.9234262414902
1086.9030592325646,1092.0223024720408,1086.9969885553787,1099.1631507116383,1100.2491279788176
1085.9918038488418,1091.1923450242575,1086.087126626008,1098.452840692181,1099.5610223836
1085.0674735077175,1090.348880471785,1085.1641755277412,1097.7285890475207,1098.859074768647
1084.1300354394396,1089.491872740842,1084.228102568118,1096.9903555778571,1098.1432362707262
1083.1801783621875,1088.6219455422568,1083.279595496229,1096.2386687225005,1097.414009456928
1082.2178727734222,1087.7390661892507,1082.31862489057,1095.4734917931337,1096.6713489555336
1081.2433274706214,1086.8434196494616,1081.3453992783875,1094.6949752939765,1095.915390865642
1080.2567512512617,1085.9351908905269,1080.3601271869281,1093.90326972925,1095.1462712863506
1079.2580958105978,1085.014327613176,1079.3627603689888,1093.0983179188709,1094.3639244186666
1078.2480812040876,1084.0814862160023,1078.3540179500926,1092.2806824553832,1093.568886875429
1077.2266621269073,1083.136617549951,1077.3338546870455,1091.4503094775184,1092.7610961749308
1076.193781594559,1082.1796601484682,1076.3022136402128,1090.6071320791239,1091.940476774561
1075.1501771823848,1081.2112888867907,1075.2598314801544,1089.7517324204885,1091.1075848789342
1074.0957947454278,1080.231445306504,1074.2066541110714,1088.884046798668,1090.2623481581861
1073.0308430811658,1079.2403143752458,1073.1428900602107,1088.0042257178845,1089.4049027114152
1071.9555309870764,1078.2380810606537,1072.068747854819,1087.1124196823573,1088.5353846377195
1070.8697880821383,1077.224669565093,1070.9841571362208,1086.208546347091,1087.6537028526323
1069.7743790020322,1076.2007836627479,1069.8898816800024,1085.2932189427277,1086.760444818707
1068.6692359379865,1075.166350327337,1068.7858537043792,1084.3663581348135,1085.8555224899958
1067.5542811123541,1074.121285730626,1067.6719954397088,1083.4278727771787,1084.9388358747856
1066.4302941144483,1073.0663098500745,1066.5490856436843,1082.4783938184182,1084.0109903546622
1065.2971995784908,1072.001341486726,1065.4170489633814,1081.5178330073002,1083.0718888718927
1064.1552063019597,1070.926565608218,1064.276093926047,1080.5463408480448,1082.121667525575
1063.0045230823312,1069.8421671821877,1063.1264290589272,1079.5640678448724,1081.160462414808
1061.8450608839048,1068.748049943728,1061.9679653090407,1078.5709089542088,1080.1881593999256
1060.6776220793938,1067.6449589804308,1060.801504267704,1077.5675231121247,1079.2053923326448
1059.5021197776741,1066.53280041988,1059.6269590317095,1076.5538079773166,1078.2120498330537
1058.3184588295437,1065.4114711032507,1058.4442344185713,1075.5296506299305,1077.2080096906109
1057.1274539950975,1064.2817300480451,1057.2541444387853,1074.4957258742008,1076.1939220033235
1055.9290121093309,1063.1434763458537,1056.0565958994669,1073.4519233769397,1075.1696672158648
1054.7233419697207,1061.9968949643148,1054.8517973278622,1072.3983936423674,1074.1353814273327
1053.510652373745,1060.842170871066,1053.6399572512187,1071.3352871747047,1073.0912007368265
1052.2908390526163,1059.6791903650178,1052.4209713394143,1070.2624786981337,1072.0369901797576
1051.0647352728913,1058.5087337849875,1051.1956721651643,1069.1806679214842,1070.9734255364538
1049.8322384826888,1057.3306894435154,1049.9639571210018,1068.0897319629366,1069.9003743233145
1048.593239582846,1056.1449378822792,1048.7257170287667,1066.9895385952896,1068.8176943412477
1047.3485816610507,1054.9522710966382,1047.4817943174232,1065.8808015457455,1067.7260759441288
1046.0981571746656,1053.7525714998235,1046.2320813712931,1064.7633908654961,1066.625379309313
1044.8421749211682,1052.5460240594732,1044.9767867176233,1063.6374570587627,1065.5157405358996
1043.5808436980362,1051.3328137432245,1043.7161188836603,1062.5031506297648,1064.3972957229864
1042.3140474249908,1050.1128124448985,1042.449961679308,1061.3603285367753,1063.2698913113386
1041.0426434192432,1048.8868296923545,1041.1791718243487,1060.2097263287153,1062.1342405493444
1039.7665168897493,1047.6547390141804,1039.9036344242231,1059.0512030495845,1060.9901920799898
1038.4855482089797,1046.4164076836478,1038.6232297222614,1057.8846096311654,1059.8375859459068
1037.2006019490266,1045.172654611791,1037.3388217315648,1056.710693790962,1058.6771482962888
1035.9115596112144,1043.923348564572,1036.0502918308277,1055.5293084308803,1057.5087212714493
1034.6186299930207,1042.6686745096288,1034.7578485472961,1054.34060405514,1056.332440970486
1033.322021891923,1041.4088174145993,1033.4617004082174,1053.1447311679617,1055.148443492498
1032.0216108377474,1040.1436377993068,1032.1617227806887,1051.941531428044,1053.9565589138801
1030.7182713551683,1038.873968318468,1030.8587896972242,1050.731771291729,1052.757533490528
1029.411859099209,1037.5996593102627,1029.5527568168222,1049.5152949080202,1051.5512046774159
1028.102143590035,1036.3205105877653,1028.2433942756638,1048.2919424004695,1050.337424281569
1026.789879670556,1035.0372933165722,1026.9314574249763,1047.0624948196762,1049.116982505129
1025.474816873539,1033.7497970123939,1025.6166965800837,1045.8267946622511,1047.889738416591
1024.1570395782749,1032.4581380175794,1024.299196809132,1044.584996709522,1046.6558608458083
1022.8366321640552,1031.1624326744782,1022.979043180267,1043.3372557428183,1045.4155186226367
1021.5133399937331,1029.862464104226,1021.6559818013751,1042.0834048915378,1044.1685606254553
1020.1879248601333,1028.5590141301343,1020.3307750361399,1040.8242408184335,1042.915794040076
1018.860132767056,1027.2518668645891,1019.0031696392083,1039.559598114968,1041.6570693350952
1017.5297072839824,1025.9408026334647,1017.6729099087125,1038.2893057617664,1040.3922308772128
1016.1974138552928,1024.6266089399599,1016.3407618931852,1037.0141688380158,1039.1220950052793
1014.8629966266029,1023.3090670118344,1015.0064704721773,1035.734017667516,1037.8465075465317
1013.5265399772045,1021.9882931914376,1013.6701207138351,1034.4490070315965,1036.5656373308245
1012.1881282863891,1020.6644038211183,1012.3317976863036,1033.1592917115856,1035.2796531880117
1010.8475025668871,1019.3371751639191,1010.9912431071903,1031.8646945663484,1033.9883928301492
1009.505433484599,1018.0074029976382,1009.6492282949791,1030.5660331167364,1032.6926861215047
1008.1616625203711,1016.674864338268,1008.3054954397952,1029.2631313666461,1031.3923720185426
